jobName,repetition,sortType,size,time,partition
cmp625, 3, Hybrid_500, 10000, 0.0378, grace1
cmp625, 3, Hybrid_1000, 10000, 0.0671, grace1
cmp625, 3, Hybrid_5000, 10000, 0.3726, grace1
cmp625, 3, NativeSorted, 10000, 0.0008, grace1
cmp625, 3, BruteForce, 50000, 30.8118, grace1
cmp625, 3, Hybrid_5, 50000, 0.0411, grace1
cmp625, 3, Hybrid_10, 50000, 0.0401, grace1
cmp625, 3, Hybrid_20, 50000, 0.0407, grace1
cmp625, 3, Hybrid_30, 50000, 0.0424, grace1
cmp625, 3, Hybrid_50, 50000, 0.0475, grace1
cmp625, 3, Hybrid_100, 50000, 0.0617, grace1
cmp625, 3, Hybrid_500, 50000, 0.2039, grace1
cmp625, 3, Hybrid_1000, 50000, 0.3677, grace1
cmp625, 3, Hybrid_5000, 50000, 1.6060, grace1
cmp625, 3, NativeSorted, 50000, 0.0052, grace1
cmp625, 3, BruteForce, 100000, 145.5562, grace1
cmp625, 3, Hybrid_5, 100000, 0.0901, grace1
cmp625, 3, Hybrid_10, 100000, 0.0881, grace1
cmp625, 3, Hybrid_20, 100000, 0.0951, grace1
cmp625, 3, Hybrid_30, 100000, 0.0986, grace1
cmp625, 3, Hybrid_50, 100000, 0.1079, grace1
cmp625, 3, Hybrid_100, 100000, 0.1360, grace1
cmp625, 3, Hybrid_500, 100000, 0.4103, grace1
cmp625, 3, Hybrid_1000, 100000, 0.7694, grace1
cmp625, 3, Hybrid_5000, 100000, 3.4391, grace1
cmp625, 3, NativeSorted, 100000, 0.0117, grace1
cmp625, 3, BruteForce, 500000, 3915.5710, grace1
cmp625, 3, Hybrid_5, 500000, 0.5393, grace1
cmp625, 3, Hybrid_10, 500000, 0.5236, grace1
cmp625, 3, Hybrid_20, 500000, 0.5304, grace1
cmp625, 3, Hybrid_30, 500000, 0.5471, grace1
cmp625, 3, Hybrid_50, 500000, 0.5909, grace1
cmp625, 3, Hybrid_100, 500000, 0.7338, grace1
cmp625, 3, Hybrid_500, 500000, 2.1271, grace1
cmp625, 3, Hybrid_1000, 500000, 3.7154, grace1
cmp625, 3, Hybrid_5000, 500000, 17.9503, grace1
cmp625, 3, NativeSorted, 500000, 0.0654, grace1
cmp625, 3, BruteForce, 1000000, 16001.7473, grace1
cmp625, 3, Hybrid_5, 1000000, 1.1514, grace1
cmp625, 3, Hybrid_10, 1000000, 1.1214, grace1
cmp625, 3, Hybrid_20, 1000000, 1.1256, grace1
cmp625, 3, Hybrid_30, 1000000, 1.1577, grace1
cmp625, 3, Hybrid_50, 1000000, 1.2532, grace1
cmp625, 3, Hybrid_100, 1000000, 1.5366, grace1
cmp625, 3, Hybrid_500, 1000000, 4.1333, grace1
cmp625, 3, Hybrid_1000, 1000000, 7.4769, grace1
cmp625, 3, Hybrid_5000, 1000000, 34.5010, grace1
cmp625, 3, NativeSorted, 1000000, 0.1398, grace1
cmp625, 4, BruteForce, 1000, 0.0097, grace1
cmp625, 4, Hybrid_5, 1000, 0.0005, grace1
cmp625, 4, Hybrid_10, 1000, 0.0005, grace1
cmp625, 4, Hybrid_20, 1000, 0.0005, grace1
cmp625, 4, Hybrid_30, 1000, 0.0005, grace1
cmp625, 4, Hybrid_50, 1000, 0.0006, grace1
cmp625, 4, Hybrid_100, 1000, 0.0008, grace1
cmp625, 4, Hybrid_500, 1000, 0.0036, grace1
cmp625, 4, Hybrid_1000, 1000, 0.0107, grace1
cmp625, 4, Hybrid_5000, 1000, 0.0098, grace1
cmp625, 4, NativeSorted, 1000, 0.0001, grace1
cmp625, 4, BruteForce, 2000, 0.0407, grace1
cmp625, 4, Hybrid_5, 2000, 0.0011, grace1
cmp625, 4, Hybrid_10, 2000, 0.0010, grace1
cmp625, 4, Hybrid_20, 2000, 0.0010, grace1
cmp625, 4, Hybrid_30, 2000, 0.0011, grace1
cmp625, 4, Hybrid_50, 2000, 0.0013, grace1
cmp625, 4, Hybrid_100, 2000, 0.0019, grace1
cmp625, 4, Hybrid_500, 2000, 0.0071, grace1
cmp625, 4, Hybrid_1000, 2000, 0.0147, grace1
cmp625, 4, Hybrid_5000, 2000, 0.0424, grace1
cmp625, 4, NativeSorted, 2000, 0.0001, grace1
cmp625, 4, BruteForce, 5000, 0.2544, grace1
cmp625, 4, Hybrid_5, 5000, 0.0031, grace1
cmp625, 4, Hybrid_10, 5000, 0.0029, grace1
cmp625, 4, Hybrid_20, 5000, 0.0030, grace1
cmp625, 4, Hybrid_30, 5000, 0.0032, grace1
cmp625, 4, Hybrid_50, 5000, 0.0037, grace1
cmp625, 4, Hybrid_100, 5000, 0.0051, grace1
cmp625, 4, Hybrid_500, 5000, 0.0177, grace1
cmp625, 4, Hybrid_1000, 5000, 0.0367, grace1
cmp625, 4, Hybrid_5000, 5000, 0.2600, grace1
cmp625, 4, NativeSorted, 5000, 0.0004, grace1
cmp625, 4, BruteForce, 10000, 1.0297, grace1
cmp625, 4, Hybrid_5, 10000, 0.0073, grace1
cmp625, 4, Hybrid_10, 10000, 0.0071, grace1
cmp625, 4, Hybrid_20, 10000, 0.0071, grace1
cmp625, 4, Hybrid_30, 10000, 0.0075, grace1
cmp625, 4, Hybrid_50, 10000, 0.0084, grace1
cmp625, 4, Hybrid_100, 10000, 0.0116, grace1
cmp625, 4, Hybrid_500, 10000, 0.0378, grace1
cmp625, 4, Hybrid_1000, 10000, 0.0711, grace1
cmp625, 4, Hybrid_5000, 10000, 0.2987, grace1
cmp625, 4, NativeSorted, 10000, 0.0008, grace1
cmp625, 4, BruteForce, 50000, 30.8772, grace1
cmp625, 4, Hybrid_5, 50000, 0.0416, grace1
cmp625, 4, Hybrid_10, 50000, 0.0404, grace1
cmp625, 4, Hybrid_20, 50000, 0.0409, grace1
cmp625, 4, Hybrid_30, 50000, 0.0427, grace1
cmp625, 4, Hybrid_50, 50000, 0.0477, grace1
cmp625, 4, Hybrid_100, 50000, 0.0617, grace1
cmp625, 4, Hybrid_500, 50000, 0.1918, grace1
cmp625, 4, Hybrid_1000, 50000, 0.3616, grace1
cmp625, 4, Hybrid_5000, 50000, 1.7091, grace1
cmp625, 4, NativeSorted, 50000, 0.0052, grace1
cmp625, 4, BruteForce, 100000, 145.2485, grace1
cmp625, 4, Hybrid_5, 100000, 0.0896, grace1
cmp625, 4, Hybrid_10, 100000, 0.0872, grace1
cmp625, 4, Hybrid_20, 100000, 0.0884, grace1
cmp625, 4, Hybrid_30, 100000, 0.0917, grace1
cmp625, 4, Hybrid_50, 100000, 0.1015, grace1
cmp625, 4, Hybrid_100, 100000, 0.1301, grace1
cmp625, 4, Hybrid_500, 100000, 0.3956, grace1
