cmp625, 3, Hybrid_500, 500000, 2.2683, phoenix
cmp625, 3, Hybrid_1000, 500000, 4.1376, phoenix
cmp625, 3, Hybrid_5000, 500000, 19.9262, phoenix
cmp625, 3, NativeSorted, 500000, 0.0942, phoenix
cmp625, 3, BruteForce, 1000000, 20317.7769, phoenix
cmp625, 3, Hybrid_5, 1000000, 1.3586, phoenix
cmp625, 3, Hybrid_10, 1000000, 1.3176, phoenix
cmp625, 3, Hybrid_20, 1000000, 1.3203, phoenix
cmp625, 3, Hybrid_30, 1000000, 1.3543, phoenix
cmp625, 3, Hybrid_50, 1000000, 1.4622, phoenix
cmp625, 3, Hybrid_100, 1000000, 1.7842, phoenix
cmp625, 3, Hybrid_500, 1000000, 4.7590, phoenix
cmp625, 3, Hybrid_1000, 1000000, 8.6747, phoenix
cmp625, 3, Hybrid_5000, 1000000, 40.8920, phoenix
cmp625, 3, NativeSorted, 1000000, 0.2149, phoenix
cmp625, 4, BruteForce, 1000, 0.0116, phoenix
cmp625, 4, Hybrid_5, 1000, 0.0006, phoenix
cmp625, 4, Hybrid_10, 1000, 0.0005, phoenix
cmp625, 4, Hybrid_20, 1000, 0.0005, phoenix
cmp625, 4, Hybrid_30, 1000, 0.0006, phoenix
cmp625, 4, Hybrid_50, 1000, 0.0007, phoenix
cmp625, 4, Hybrid_100, 1000, 0.0010, phoenix
cmp625, 4, Hybrid_500, 1000, 0.0029, phoenix
cmp625, 4, Hybrid_1000, 1000, 0.0110, phoenix
cmp625, 4, Hybrid_5000, 1000, 0.0109, phoenix
cmp625, 4, NativeSorted, 1000, 0.0001, phoenix
cmp625, 4, BruteForce, 2000, 0.0477, phoenix
cmp625, 4, Hybrid_5, 2000, 0.0013, phoenix
cmp625, 4, Hybrid_10, 2000, 0.0012, phoenix
cmp625, 4, Hybrid_20, 2000, 0.0012, phoenix
cmp625, 4, Hybrid_30, 2000, 0.0012, phoenix
cmp625, 4, Hybrid_50, 2000, 0.0015, phoenix
cmp625, 4, Hybrid_100, 2000, 0.0019, phoenix
cmp625, 4, Hybrid_500, 2000, 0.0081, phoenix
cmp625, 4, Hybrid_1000, 2000, 0.0183, phoenix
cmp625, 4, Hybrid_5000, 2000, 0.0452, phoenix
cmp625, 4, NativeSorted, 2000, 0.0002, phoenix
cmp625, 4, BruteForce, 5000, 0.3016, phoenix
cmp625, 4, Hybrid_5, 5000, 0.0039, phoenix
cmp625, 4, Hybrid_10, 5000, 0.0037, phoenix
cmp625, 4, Hybrid_20, 5000, 0.0037, phoenix
cmp625, 4, Hybrid_30, 5000, 0.0039, phoenix
cmp625, 4, Hybrid_50, 5000, 0.0044, phoenix
cmp625, 4, Hybrid_100, 5000, 0.0060, phoenix
cmp625, 4, Hybrid_500, 5000, 0.0200, phoenix
cmp625, 4, Hybrid_1000, 5000, 0.0383, phoenix
cmp625, 4, Hybrid_5000, 5000, 0.2867, phoenix
cmp625, 4, NativeSorted, 5000, 0.0005, phoenix
cmp625, 4, BruteForce, 10000, 1.2074, phoenix
cmp625, 4, Hybrid_5, 10000, 0.0078, phoenix
cmp625, 4, Hybrid_10, 10000, 0.0074, phoenix
cmp625, 4, Hybrid_20, 10000, 0.0075, phoenix
cmp625, 4, Hybrid_30, 10000, 0.0078, phoenix
cmp625, 4, Hybrid_50, 10000, 0.0089, phoenix
cmp625, 4, Hybrid_100, 10000, 0.0119, phoenix
cmp625, 4, Hybrid_500, 10000, 0.0412, phoenix
cmp625, 4, Hybrid_1000, 10000, 0.0778, phoenix
cmp625, 4, Hybrid_5000, 10000, 0.3872, phoenix
cmp625, 4, NativeSorted, 10000, 0.0011, phoenix
cmp625, 4, BruteForce, 50000, 31.4085, phoenix
cmp625, 4, Hybrid_5, 50000, 0.0497, phoenix
cmp625, 4, Hybrid_10, 50000, 0.0481, phoenix
cmp625, 4, Hybrid_20, 50000, 0.0483, phoenix
cmp625, 4, Hybrid_30, 50000, 0.0501, phoenix
cmp625, 4, Hybrid_50, 50000, 0.0553, phoenix
cmp625, 4, Hybrid_100, 50000, 0.0707, phoenix
cmp625, 4, Hybrid_500, 50000, 0.2163, phoenix
cmp625, 4, Hybrid_1000, 50000, 0.4057, phoenix
cmp625, 4, Hybrid_5000, 50000, 1.7108, phoenix
cmp625, 4, NativeSorted, 50000, 0.0068, phoenix
cmp625, 4, BruteForce, 100000, 136.9942, phoenix
cmp625, 4, Hybrid_5, 100000, 0.1040, phoenix
cmp625, 4, Hybrid_10, 100000, 0.1001, phoenix
cmp625, 4, Hybrid_20, 100000, 0.1013, phoenix
cmp625, 4, Hybrid_30, 100000, 0.1049, phoenix
cmp625, 4, Hybrid_50, 100000, 0.1158, phoenix
cmp625, 4, Hybrid_100, 100000, 0.1485, phoenix
cmp625, 4, Hybrid_500, 100000, 0.4412, phoenix
cmp625, 4, Hybrid_1000, 100000, 0.7950, phoenix
cmp625, 4, Hybrid_5000, 100000, 3.9966, phoenix
cmp625, 4, NativeSorted, 100000, 0.0147, phoenix
cmp625, 4, BruteForce, 500000, 3813.3495, phoenix
cmp625, 4, Hybrid_5, 500000, 0.5778, phoenix
cmp625, 4, Hybrid_10, 500000, 0.5599, phoenix
cmp625, 4, Hybrid_20, 500000, 0.5618, phoenix
cmp625, 4, Hybrid_30, 500000, 0.5809, phoenix
cmp625, 4, Hybrid_50, 500000, 0.6336, phoenix
cmp625, 4, Hybrid_100, 500000, 0.7904, phoenix
cmp625, 4, Hybrid_500, 500000, 2.2597, phoenix
cmp625, 4, Hybrid_1000, 500000, 4.1300, phoenix
cmp625, 4, Hybrid_5000, 500000, 19.7210, phoenix
cmp625, 4, NativeSorted, 500000, 0.0916, phoenix
cmp625, 4, BruteForce, 1000000, 20253.1047, phoenix
cmp625, 4, Hybrid_5, 1000000, 1.3407, phoenix
cmp625, 4, Hybrid_10, 1000000, 1.3035, phoenix
cmp625, 4, Hybrid_20, 1000000, 1.3013, phoenix
cmp625, 4, Hybrid_30, 1000000, 1.3376, phoenix
cmp625, 4, Hybrid_50, 1000000, 1.4428, phoenix
cmp625, 4, Hybrid_100, 1000000, 1.7637, phoenix
cmp625, 4, Hybrid_500, 1000000, 4.6917, phoenix
cmp625, 4, Hybrid_1000, 1000000, 8.5329, phoenix
cmp625, 4, Hybrid_5000, 1000000, 40.0006, phoenix
cmp625, 4, NativeSorted, 1000000, 0.2138, phoenix
