cmp625, 3, Hybrid_5000, 100000, 3.1292, lunaris
cmp625, 3, NativeSorted, 100000, 0.0106, lunaris
cmp625, 3, BruteForce, 500000, 2504.4108, lunaris
cmp625, 3, Hybrid_5, 500000, 0.4736, lunaris
cmp625, 3, Hybrid_10, 500000, 0.4625, lunaris
cmp625, 3, Hybrid_20, 500000, 0.4650, lunaris
cmp625, 3, Hybrid_30, 500000, 0.4816, lunaris
cmp625, 3, Hybrid_50, 500000, 0.5248, lunaris
cmp625, 3, Hybrid_100, 500000, 0.6582, lunaris
cmp625, 3, Hybrid_500, 500000, 1.8410, lunaris
cmp625, 3, Hybrid_1000, 500000, 3.3622, lunaris
cmp625, 3, Hybrid_5000, 500000, 15.8420, lunaris
cmp625, 3, NativeSorted, 500000, 0.0615, lunaris
cmp625, 3, BruteForce, 1000000, 10605.6184, lunaris
cmp625, 3, Hybrid_5, 1000000, 1.0442, lunaris
cmp625, 3, Hybrid_10, 1000000, 1.0224, lunaris
cmp625, 3, Hybrid_20, 1000000, 1.0323, lunaris
cmp625, 3, Hybrid_30, 1000000, 1.0651, lunaris
cmp625, 3, Hybrid_50, 1000000, 1.1581, lunaris
cmp625, 3, Hybrid_100, 1000000, 1.4261, lunaris
cmp625, 3, Hybrid_500, 1000000, 3.8878, lunaris
cmp625, 3, Hybrid_1000, 1000000, 6.9326, lunaris
cmp625, 3, Hybrid_5000, 1000000, 32.7992, lunaris
cmp625, 3, NativeSorted, 1000000, 0.1539, lunaris
cmp625, 4, BruteForce, 1000, 0.0091, lunaris
cmp625, 4, Hybrid_5, 1000, 0.0005, lunaris
cmp625, 4, Hybrid_10, 1000, 0.0005, lunaris
cmp625, 4, Hybrid_20, 1000, 0.0005, lunaris
cmp625, 4, Hybrid_30, 1000, 0.0005, lunaris
cmp625, 4, Hybrid_50, 1000, 0.0006, lunaris
cmp625, 4, Hybrid_100, 1000, 0.0008, lunaris
cmp625, 4, Hybrid_500, 1000, 0.0031, lunaris
cmp625, 4, Hybrid_1000, 1000, 0.0088, lunaris
cmp625, 4, Hybrid_5000, 1000, 0.0091, lunaris
cmp625, 4, NativeSorted, 1000, 0.0001, lunaris
cmp625, 4, BruteForce, 2000, 0.0354, lunaris
cmp625, 4, Hybrid_5, 2000, 0.0010, lunaris
cmp625, 4, Hybrid_10, 2000, 0.0010, lunaris
cmp625, 4, Hybrid_20, 2000, 0.0010, lunaris
cmp625, 4, Hybrid_30, 2000, 0.0011, lunaris
cmp625, 4, Hybrid_50, 2000, 0.0012, lunaris
cmp625, 4, Hybrid_100, 2000, 0.0018, lunaris
cmp625, 4, Hybrid_500, 2000, 0.0056, lunaris
cmp625, 4, Hybrid_1000, 2000, 0.0144, lunaris
cmp625, 4, Hybrid_5000, 2000, 0.0359, lunaris
